BLOCK,PLOT,uid,BS_Suitability,WS_Suitability,RS_Suitability,elevation,tri,tpi,roughness,slope,aspect,flowdir,tmin,tmean,tmax,dew,vpdmax,vpdmin,McNab,Bolstad,Profile,Planform,Winds10,Winds50,SWI,RAD,ppt,Parent,Densic,Lithic,Redox,Min_depth,WD2000,WD2020,WHC,ex.mg,ex.ca,ph,dep,ex.k,nit,SWC2,MeanWD,set
B3,10,B310,0.00682095,0.041711953,0.311418504,58.25435257,0.539329529,0.240794182,1.660037994,1.744851947,103.7106781,1,0.781080663,6.603657246,12.42534065,1.2969172,8.980831146,0.586789191,-0.349964142,0.059126757,0.000274,0.000383,2.611325979,4.859417439,6.177628517,159.5833282,1097.975098,909,NA,67.32130432,NA,65.86750031,-163.2156525,-189.0014648,193.7408295,0.104470789,2.115422487,6.207633018,35.85531998,0.102992699,1.034956813,239.6161499,-223.4799042,30m
B3,11,B311,0.003858248,0.035927277,0.311536491,57.9725647,0.994748592,0.473967075,3.22221756,3.26892972,297.1845398,32,0.781582892,6.603095055,12.42390251,1.297662139,8.979679108,0.587120891,1.223773956,0.116381988,0.001127,0.000249,2.58705759,4.836635113,5.54034996,88,1097.406006,909,NA,51.78653336,NA,49.36909866,-164.026947,-189.8851471,226.0250702,0.119116321,2.634994268,5.252185822,40.61281586,0.112733796,1.028706551,272.313446,-224.3050995,30m
B4,1,B41,0.004136207,0.036232941,0.311479628,57.69607544,1.003081322,0.295228958,3.120346069,3.264014482,337.1156921,32,0.77977401,6.602595329,12.42481136,1.296892643,8.979980469,0.586355448,1.030830383,0.07249295,0.000596,0.000338,2.594050407,4.841244698,5.616781235,61.58333206,1097.252075,909,NA,59.3012352,23.20833397,60.11875153,-164.3505096,-190.2221832,216.9936218,0.087468304,2.832214355,5.486554146,38.84551239,0.110934302,1.024013877,270.0292053,-224.6310272,30m
B4,2,B42,0.003306607,0.035171725,0.311472178,56.41447449,1.057091713,0.171255112,3.294197083,3.512679577,338.4828491,64,0.779068828,6.60229969,12.42499447,1.29666698,8.979945183,0.586075425,0.872837067,0.042051241,-9.00E-05,0.000615,2.594355345,4.840159416,5.36755085,61.58333206,1097.104736,909,NA,54.75296402,NA,55.91374969,-164.3465271,-190.2342682,213.4967651,0.212678805,2.833090782,4.805560589,37.43058395,0.116464421,1.026354074,276.649231,-224.6300201,30m
B4,3,B43,0.009899897,0.042306304,0.311465979,58.75476074,0.410882473,0.266369343,1.256797791,1.386717439,353.915802,64,0.780283034,6.602937698,12.42490292,1.296962976,8.980201721,0.586531758,0.529342651,0.065407306,0.000643,5.60E-05,2.59489727,4.844828129,6.589110851,97.33333588,1097.470093,909,NA,55.65755463,13,52.77664948,-163.9327545,-189.7790375,217.2655945,0.309642702,2.560692549,5.633071423,36.4223175,0.102384642,1.07785058,235.7423553,-224.2084961,30m
B4,4,B44,0.005086448,0.038128234,0.311458468,57.96299744,0.828947067,0.250829697,2.344261169,2.775877953,353.7186279,64,0.779580832,6.602643967,12.42508793,1.296741247,8.980165482,0.586250603,0.774261475,0.061591554,0.000513,0.000246,2.593202114,4.842869759,5.846926689,70.41666412,1097.322876,909,NA,52.57081604,NA,45.60162354,-164.2517395,-190.1141663,215.1119385,0.044526257,2.763398886,6.09747982,37.25731659,0.106767341,1.022808433,258.7156067,-224.5304871,30m
B4,5,B45,0.009634706,0.042646319,0.311444938,58.75873566,0.369708538,0.223143101,0.991283417,1.291925311,359.5398254,64,0.780086815,6.602985382,12.42517662,1.296807766,8.980386734,0.586427987,0.39786911,0.054792538,0.000625,0,2.596088648,4.847344398,6.559382439,105,1097.540771,909,NA,56.89580154,17.01436043,46.3517189,-163.8480072,-189.6849976,216.6867981,0.301666677,2.503132582,5.660104275,35.99341583,0.102279752,1.073985815,234.0099335,-224.1219635,30m
B4,6,B56,0.005096955,0.038404148,0.311437309,57.96972275,0.768125534,0.174808502,2.055137634,2.684090614,359.6614075,64,0.779387653,6.602693081,12.42536354,1.296589971,8.980351448,0.586145759,0.631126404,0.042923775,0.000489,0,2.592373371,4.84450388,5.84979248,76.83333588,1097.393799,909,NA,52.94311142,19.97233391,53.67174911,-164.1819763,-190.0351563,215.8477325,0.04441423,2.713638544,6.101817131,36.54360962,0.106697783,1.0229249,257.1536255,-224.4589539,30m
B4,7,B57,0.006818286,0.041138154,0.311423868,58.76260757,0.648303986,0.552819252,2.135742188,1.823753476,37.7157402,128,0.779890597,6.603032589,12.42545033,1.296652436,8.980572701,0.586324215,0.396442413,0.135744199,0.000946,0.00051,2.597300053,4.849869251,6.174741745,105.25,1097.61145,909,NA,60.99578857,20.9576149,49.15848541,-163.8522491,-189.6799469,216.6019897,0.103256293,2.49967742,6.206352234,35.97742844,0.103195235,1.038479686,242.0726318,-224.1244202,30m
B4,8,B58,0.004013552,0.036730461,0.311416119,57.97605515,0.92595768,0.533577919,2.945423126,3.017090559,25.6737957,128,0.779194474,6.602742195,12.42564011,1.296438575,8.980536461,0.586040974,0.630596161,0.131020099,0.000718,0.000994,2.591564655,4.846146584,5.585099697,77,1097.4646,909,NA,62.24209595,NA,64.92124939,-164.1871948,-190.0311432,215.7824707,0.099399947,2.711288452,5.38620472,36.51420212,0.111611821,1.02729094,267.0910339,-224.4624329,30m
B4,9,B59,0.004263781,0.037586726,0.311402798,57.97634125,0.83275795,0.31785202,2.822368622,2.809572935,53.8652916,128,0.779694438,6.603079796,12.42572403,1.296497226,8.980758667,0.586220443,0.000143051,0.078048497,0.000556,0.000487,2.59791255,4.851109505,5.653722286,106.0833359,1097.682007,909,NA,61.36617661,NA,62.6120491,-163.8495026,-189.6679077,203.4265442,0.075173393,2.492867947,5.598047733,35.19256973,0.110140301,1.025283813,262.277832,-224.1198883,30m
B4,10,B510,0.004263781,0.037586726,0.311402798,57.97634125,0.83275795,0.31785202,2.822368622,2.809572935,53.8652916,128,0.779694438,6.603079796,12.42572403,1.296497226,8.980758667,0.586220443,0.000143051,0.078048497,0.000556,0.000487,2.59791255,4.851109505,5.653722286,106.0833359,1097.682007,909,NA,61.36617661,NA,62.6120491,-163.8495026,-189.6679077,203.4265442,0.075173393,2.492867947,5.598047733,35.19256973,0.110140301,1.025283813,262.277832,-224.1198883,30m
B4,11,B511,0.003225248,0.036247212,0.311493486,55.63441467,0.934333324,-0.132984638,3.222911835,3.208183765,328.0663147,64,0.779258966,6.602249146,12.424716,1.296814442,8.979759216,0.586181343,0.580625534,-0.032654654,-0.000797,0.000327,2.597243547,4.83942461,5.339356422,77.75,1097.033569,909,NA,48.69238281,NA,48.52147675,-164.1453094,-190.0422516,213.91922,0.228538379,2.710198402,4.752046585,35.84948349,0.117005065,1.022379756,270.1487732,-224.4305573,30m
