BLOCK,PLOT,TREE,SPP,DAM1,DEDUCT1,DAM2,DEDUCT2,DAM3,DEDUCT3,T_DEDUCT
B3,7,1870,BS,,,,,,,0
B3,7,1875,NS,SPK,4,FK,60,MT,50,38
B3,7,1876,BS,,,,,,,0
B3,7,1879,BS,,,,,,,0
B3,8,1893,NS,FK,30,FK,100,FK,100,77
B3,8,1896,WS,RT,5,,,,,2
B3,8,1898,WS,,,,,,,0
B3,8,1899,NS,,,,,,,0
B3,8,1901,NS,SPK,4,SPK,15,,,6
B3,8,1905,NS,BF,10,,,,,3
B3,8,1912,NS,,,,,,,0
B3,8,1913,NS,SPK,5,WV,15,,,7
B3,8,1916,NS,,,,,,,0
B3,8,1920,NS,SPK,25,SPK,8,FK,30,21
B3,8,1921,NS,DEAD,,,,,,0
B3,8,1922,NS,BF,5,PV,,PV,,2
B3,8,1924,NS,BF/SPK,15,SPK,6,,,7
B3,8,1926,WS,SPK,5,,,,,2
B3,8,1937,WS,,,,,,,0
B3,8,1948,WS,,,,,,,0
B3,8,1954,WS,,,,,,,0
B3,8,1958,WS,,,,,,,0
B3,8,1961,WS,,,,,,,0
B3,8,1962,WS,,,,,SN,15,5
B3,9,1005,NS,BF,10,,,,,3
B3,9,1006,NS,BF,10,,,,,3
B3,9,1014,NS,SPK,8,SPK,8,,,5
B3,9,1024,NS,FUNG,75,WV,5,FK,30,37
B3,9,1029,NS,WV,15,,,WV,60,25
B3,9,1030,NS,,,,,,,0
B3,9,1968,NS,SPK,5,FK,50,,,18
B3,9,1978,NS,BF,15,,,,,5
B3,9,1979,NS,SPK,5,WV,15,WV,20,13
B3,9,1993,NS,,,,,SN,50,17
B3,10,1052,RS,,,,,,,0
B3,10,1053,RS,,,,,,,0
B3,10,1054,RS,,,,,SPK,10,3
B3,10,1063,RS,,,FK,20,,,7
B3,10,1068,RS,,,,,,,0
B3,10,1071,RS,,,,,,,0
B3,10,1076,RS,PV,,PV,,PV,,0
B3,10,1077,RS,SWP,25,,,,,8
B3,10,1078,RS,,,,,,,0
B3,10,1084,RS,,,,,,,0
B3,11,1,BT,,,,,FK/MT,30,10
B3,11,1,BT,,,,,FK/MT,30,10
B3,11,2,WP,,,,,WV,20,7
B3,11,2,WP,,,,,WV,20,7
B3,11,3,WP,BF/WV,30,,,SN,10,13
B3,11,3,WP,BF/WV,30,,,SN,10,13
B3,11,4,BF,,,,,,,0
B3,11,4,BF,,,,,,,0
B3,11,5,BF,,,,,,,0
B3,11,6,PB,,,,,FK,,0
B3,11,7,WP,,,WV,15,WV/FK,25,13
B3,11,8,BF,,,,,,,0
B3,11,9,WP,SPK/WV/FK,60,MT,40,MT/WV,35,45
B3,11,10,RM,,,BN,,FK,30,10
B3,11,11,RM,BF,20,FK,80,MT,70,57
B3,11,12,BT,,,FK,5,,,2
B3,11,13,BT,SWP,,SWP,,SWP,,0
B3,11,14,BT,,,,,SWP,,0
B3,11,15,WP,,,WV,25,WV,10,12
B3,11,16,BT,,,FT,30,,,10
B3,11,17,BT,SWP,,,,SWP/FT,30,10
B3,11,18,BT,SWP,3,SWP,20,SWP,,8
B3,11,19,BT,SWP,,SWP,,,,0
B3,11,20,BT,SWP,,,,,,0
B3,11,21,WP,WV,15,WV,10,MT,50,25
B3,11,22,WP,WV,60,WV,40,WV,20,40
B3,11,23,WP,WV,15,FK,60,MT/WV,45,40
B3,11,24,BF,,,,,,,0
B3,11,25,BF,,,,,,,0
B3,11,26,WP,WV,20,WV,18,WV,20,19
B3,11,27,RM,BF,10,,,,,3
B3,11,28,RM,BF,10,,,,,3
B3,11,29,BT,SWP,,,,,,0
B3,11,30,BT,,,,,,,0
B3,11,31,WP,WV,25,,,,,8
B4,1,634,BS,,,,,,,0
B4,1,636,BS,SWP,70,,,,,23
B4,1,643,BS,SWP,100,,,,,33
B4,1,647,BS,,,,,,,0
B4,1,648,BS,,,,,,,0
B4,1,668,BS,BF,4,,,,,1
B4,1,673,BS,,,WV,15,,,5
B4,1,677,BS,,,WV,6,,,2
B4,1,690,BS,,,,,SWP,5,2
B4,1,691,BS,,,,,,,0
B4,2,444,NS,WV/FK,30,WV,15,AD/SN,20,22
B4,2,450,WS,,,,,,,0
B4,2,453,WS,,,,,SN,8,3
B4,2,454,NS,SPK,12,WV,10,,,7
B4,2,463,WS,SWP,6,,,,,2
B4,2,466,NS,,,,,,,0
B4,2,467,NS,,,,,,,0
B4,2,472,WS,,,,,,,0
B4,2,473,NS,WV/SPK,20,WV,15,,,12
B4,2,487,NS,,,,,,,0
B4,2,490,WS,,,,,,,0
B4,2,491,NS,PV,,PV,,FK/PV,30,10
B4,2,605,NS,,,,,,,0
B4,2,606,NS,,,,,,,0
B4,2,608,WS,,,,,,,0
B4,2,610,NS,PV,,PV,,PV,,0
B4,2,613,WS,,,,,,,0
B4,2,615,WS,SWP,10,,,,,3
B4,2,616,NS,,,,,SN,15,5
B4,2,618,WS,,,,,,,0
B4,3,382,WS,,,,,,,0
B4,3,397,WS,,,,,,,0
B4,3,398,WS,,,,,,,0
B4,3,400,WS,,,,,,,0
B4,3,417,WS,SWP,3,WV/SPK,10,,,4
B4,3,420,WS,,,,,WV,3,1
B4,3,421,WS,PV,,WV/PV,60,PV,,20
B4,3,441,WS,SWP,3,,,WV,25,9
B4,3,442,WS,,,WV,1,SPK,4,2
B4,3,702,WS,,,,,,,0
B4,4,322,NS,,,,,,,0
B4,4,324,NS,,,,,,,0
B4,4,327,NS,AD/FD,33,FD,20,,,18
B4,4,328,RS,SWP,10,,,SWP,10,7
B4,4,332,RS,,,,,,,0
B4,4,333,NS,,,,,WV,20,7
B4,4,339,NS,,,,,,,0
B4,4,341,RS,,,,,,,0
B4,4,342,RS,AD,20,FK,80,MT,70,57
B4,4,348,RS,,,,,,,0
B4,4,350,NS,,,WV,15,,,5
B4,4,354,RS,BF,8,,,,,3
B4,4,355,RS,BF,8,,,,,3
B4,4,358,RS,,,AD/FD,15,,,5
B4,4,359,RS,,,,,,,0
