Block,Plot,Tree,Spp.,DBH,Ht,HCB,CW1,CW2,Comments
B2,8,1235,BS,10.4,,,,,
B2,8,1268,BS,1.8,,,,,
B2,8,1271,BS,8.1,,,,,
B2,8,1282,BS,7.9,,,,,
B2,8,1281,BS,1.2,,,,,
B2,8,1298,BS,9.5,,,,,
B2,8,1299,BS,11.1,,,,,
B2,8,1300,BS,8.2,,,,,
B2,8,1283,BS,7.5,,,,,
B2,8,1284,BS,5,,,,,
B2,8,1285,BS,6.1,,,,,
B2,8,1279,BS,4.5,,,,,
B2,8,1286,BS,4.3,,,,,
B2,8,1287,BS,8.9,,,,,
B2,8,1288,BS,2,,,,,
B2,8,1289,BS,1.9,,,,,
B2,8,1290,BS,4.2,,,,,
B2,8,1291,BS,9.8,,,,,
B2,8,1278,BS,4.6,,,,,
B2,8,1272,BS,8.6,,,,,
B2,8,1267,BS,9,,,,,
B2,8,1243,BS,6.8,,,,,
B2,8,1260,BS,7.8,,,,,
B2,8,1221,BS,9.5,,,,,
B2,8,1302,BS,9.3,,,,,
B2,8,1301,BS,10.4,,,,,
B2,8,1280,BS,8.6,,,,,
B2,8,1270,BS,10.6,,,,,
B2,8,1234,BS,7.4,,,,,
B2,8,1303,BS,1.3,,,,,
B2,8,1233,BS,8.5,,,,,
B2,8,1236,BS,2.5,,,,,
B2,8,1237,BS,5.4,,,,,
B2,8,935,BS,1.5,,,,,
B2,8,1232,BS,2.2,2.7,34,,,
B2,8,1231,BS,3.3,,,,,
B2,8,1227,BS,9,,,,,
B2,8,1240,BS,2.2,,,,,
B2,8,1241,BS,3.1,,,,,
B2,8,1242,BS,4.3,,,,,
B2,8,1226,BS,3.7,,,,,
B2,8,1225,BS,4.3,,,,,
B2,8,1222,BS,2.4,,,,,
B2,8,1223,BS,1,,,,,
B2,8,1224,BS,4.2,,,,,
B2,8,1228,BS,3.2,,,,,
B2,8,1229,BS,1.7,,,,,
B2,8,1230,BS,0.9,,,,,
B2,8,1244,BS,3.8,,,,,
B2,8,1258,BS,4.4,,,,,
B2,8,1246,BS,2.1,,,,,
B2,8,1245,BS,1.9,,,,,
B2,8,1248,BS,3.2,,,,,
B2,8,1259,BS,0.7,,,,,
B2,8,1257,BS,6.1,,,,,
B2,8,1249,BS,1.3,,,,,
B2,8,1247,BS,2.6,,,,,
B2,8,1261,BS,1.8,,,,,
B2,8,1220,BS,8.7,,,,,
B2,8,1262,BS,6.2,,,,,LEANING
B2,8,1263,BS,7.4,,,,,UPROOTED BUT ALIVE
B2,8,1264,BS,8.5,,,,,
B2,8,1265,BS,7,,,,,
B2,8,1219,BS,6.1,,,,,
B2,8,1275,BS,4.8,,,,,
B2,8,1276,BS,7,,,,,
B2,8,1274,BS,2.5,,,,,
B2,8,1273,BS,3.6,,,,,
B2,8,1266,BS,9.7,,,,,
B2,8,1277,BS,7.2,,,,,
B2,8,1278,BS,4.5,,,,,
B2,8,1297,BS,8.1,,,,,
B2,8,1294,BS,10.7,,,,,
B2,8,1295,BS,5.8,,,,,
B2,8,1293,BS,2.5,,,,,
B2,8,1292,BS,6.1,,,,,
B2,8,1216,BS,3.5,,,,,
B2,8,1217,BS,2.2,,,,,
B2,8,1218,BS,2.1,,,,,
B2,9,1340,RS,6.2,,,,,
B2,9,1339,RS,1,,,,,DEAD
B2,9,1338,RS,1.8,,,,,DEAD
B2,9,1329,RS,,,,,,BELOW DBH
B2,9,1328,RS,,,,,,BELOW DBH
B2,9,1327,RS,,,,,,BELOW DBH
B2,9,1312,RS,3.1,,,,,
B2,9,1311,RS,3.2,,,,,
B2,9,1313,RS,2.4,,,,,
B2,9,1309,RS,,,,,,BELOW DBH
B2,9,1308,RS,4.1,,,,,
B2,9,1314,RS,4.8,,,,,
B2,9,1330,RS,4,,,,,LEANING
B2,9,1337,RS,6.9,,,,,
B2,9,1341,RS,4.2,,,,,
B2,9,1342,RS,4.3,,,,,
B2,9,1331,RS,2.7,,,,,
B2,9,1326,RS,3.5,,,,,
B2,9,1325,RS,5.3,,,,,
B2,9,1336,RS,4.1,,,,,
B2,9,1343,RS,0.7,,,,,
B2,9,1335,RS,0.8,,,,,
B2,9,1332,RS,1.4,,,,,
B2,9,1324,RS,,,,,,BELOW DBH
B2,9,1317,RS,6.7,,,,,
B2,9,1318,RS,5.1,,,,,
B2,9,1316,RS,6.2,,,,,
B2,9,1315,RS,4.6,,,,,
B2,9,1307,RS,3.8,,,,,
B2,9,1308,RS,4.4,,,,,
B2,9,1319,RS,4.4,,,,,
B2,9,1320,RS,3.1,,,,,
B2,9,1322,RS,3,,,,,
B2,9,1321,RS,6.1,,,,,
B2,9,1305,RS,1.1,,,,,
B2,9,1304,RS,1.1,,,,,
B2,9,1333,RS,9.3,,,,,APPEARS TO BE WS
B2,9,1334,RS,5,,,,,
B2,10,1398,RS,4,,,,,
B2,10,1399,BS,7,,,,,SAME POINT
B2,10,1400,BS,6.5,,,,,SAME POINT
B2,10,1382,RS,5.1,,,,,
